id,rol,tema,prioridad,respuesta_abierta
EC01,docente,comunicación de normas,alta,"Las instrucciones cambian entre cursos y necesitamos un texto común"
EC02,asistente de la educación,patios,media,"Sería útil ordenar las observaciones por momento del día"
EC03,docente,participación,alta,"Algunas voces quedan fuera de las conversaciones"
EC04,equipo técnico,seguimiento,alta,"Nos cuesta transformar registros en una decisión de apoyo"
EC05,docente,conflictos,media,"Faltan preguntas para conversar después de un conflicto"
EC06,docente,comunicación de normas,alta,"Las familias reciben mensajes con palabras demasiado técnicas"
EC07,asistente de la educación,patios,media,"Los recreos largos concentran más situaciones de tensión"
EC08,docente,participación,alta,"Queremos ejemplos de acuerdos construidos con estudiantes"
EC09,equipo técnico,seguimiento,alta,"Necesitamos una pauta simple para revisar acciones"
EC10,docente,conflictos,media,"A veces describimos el problema sin registrar lo que funcionó"
EC11,docente,comunicación de normas,media,"La información se publica en varios canales y se contradice"
EC12,asistente de la educación,patios,alta,"Falta una señal clara para pedir apoyo"
EC13,docente,participación,media,"Los turnos de palabra no siempre son equitativos"
EC14,equipo técnico,seguimiento,media,"Hay reuniones pero no siempre quedan responsables"
EC15,docente,conflictos,alta,"Necesitamos lenguaje común para reparar y no solo sancionar"
EC16,docente,comunicación de normas,alta,"Los comunicados deberían partir por lo más importante"
EC17,asistente de la educación,patios,media,"Sería bueno comparar lugares y horarios sin señalar personas"
EC18,docente,participación,media,"Queremos preguntas que ayuden a escuchar razones"
EC19,equipo técnico,seguimiento,alta,"La evidencia está dispersa en actas y correos"
EC20,docente,conflictos,media,"Los acuerdos se olvidan si no se revisan"
EC21,docente,comunicación de normas,media,"Una versión breve ayudaría a la lectura desde el celular"
EC22,asistente de la educación,patios,alta,"Algunos espacios tienen poca supervisión en cambios de hora"
EC23,docente,participación,alta,"Necesitamos adaptar la conversación a distintos niveles de lectura"
EC24,equipo técnico,seguimiento,alta,"Falta un indicador pequeño para saber si la acción avanza"
EC25,docente,conflictos,media,"Las preguntas deben evitar culpabilizar"
EC26,docente,comunicación de normas,alta,"No todos entienden las siglas institucionales"
EC27,asistente de la educación,patios,media,"Los estudiantes piden más lugares tranquilos"
EC28,docente,participación,media,"Un ejemplo concreto facilita que otros se sumen"
EC29,equipo técnico,seguimiento,alta,"Necesitamos resumir sin perder matices"
EC30,docente,conflictos,alta,"La reparación requiere tiempo y una guía"
EC31,docente,comunicación de normas,media,"Sería útil revisar el tono antes de enviar"
EC32,asistente de la educación,patios,media,"Las rutinas de entrada no son iguales cada día"
EC33,docente,participación,alta,"Las preguntas abiertas generan mejores conversaciones"
EC34,equipo técnico,seguimiento,media,"Los equipos necesitan compartir una definición de avance"
EC35,docente,conflictos,media,"A veces se resuelve el caso pero no se aprende de él"
EC36,docente,comunicación de normas,alta,"Un checklist evitaría olvidar información clave"
EC37,asistente de la educación,patios,media,"Podemos registrar tendencias sin identificar a nadie"
EC38,docente,participación,media,"La participación mejora cuando se anticipan las reglas"
EC39,equipo técnico,seguimiento,alta,"La síntesis debe mostrar qué se sabe y qué falta saber"
EC40,docente,conflictos,alta,"Necesitamos conectar convivencia con aprendizaje y cuidado"
