id,contexto,fortaleza,necesidad,proxima_accion
OP01,clase de ciencias,"Usa preguntas abiertas","Cerrar con síntesis de ideas","Probar un ticket de salida"
OP02,clase de lenguaje,"Modela lectura en voz alta","Diferenciar apoyo para tres niveles","Preparar dos ejemplos"
OP03,reunión de equipo,"Escucha a cada participante","Falta una decisión final","Cerrar con responsable y fecha"
OP04,clase de matemática,"Representa con material concreto","Explicitar el error como oportunidad","Agregar contraejemplo"
OP05,acompañamiento docente,"Entrega feedback descriptivo","Registrar evidencia observable","Usar una pauta breve"
OP06,clase de historia,"Conecta con contexto local","Ordenar fuentes","Separar hecho e interpretación"
OP07,clase de ciencias,"Promueve discusión","Regular turnos de palabra","Usar protocolo de conversación"
OP08,reunión de apoderados,"Explica con claridad","Reducir siglas","Reescribir un párrafo"
OP09,clase de lenguaje,"Permite revisar borradores","Definir criterios de calidad","Construir lista de cotejo"
OP10,clase de matemática,"Detecta estrategias distintas","Hacer visible el razonamiento","Preguntar por el procedimiento"
OP11,acompañamiento docente,"Pregunta antes de sugerir","Acordar siguiente paso","Registrar compromiso"
OP12,clase de historia,"Usa comparación de fuentes","Verificar una afirmación","Añadir cita pública"
OP13,reunión de equipo,"Distribuye tareas","Evitar tareas sin dueño","Asignar responsable"
OP14,clase de ciencias,"Relaciona experiencia y concepto","Recuperar aprendizajes previos","Iniciar con tres preguntas"
OP15,clase de lenguaje,"Valora voces diversas","Ajustar instrucciones","Escribir una versión accesible"
